Name,Depth,DistinguishedName,Link Order,GPO,Enforced,Link Enabled,BlockInheritance,gPLink,gPOptions
Domain Controllers,1,"OU=Domain Controllers,DC=vulnad,DC=local",2,UAC_Hardened,True,True,False,"[LDAP://cn={253D12DF-D79F-4BAA-8202-EFA2D3E89AA5},cn=policies,cn=system,DC=vulnad,DC=local;2][LDAP://CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=vulnad,DC=local;2]",0
Domain Controllers,1,"OU=Domain Controllers,DC=vulnad,DC=local",1,Default Domain Controllers Policy,True,True,False,"[LDAP://cn={253D12DF-D79F-4BAA-8202-EFA2D3E89AA5},cn=policies,cn=system,DC=vulnad,DC=local;2][LDAP://CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=vulnad,DC=local;2]",0
Win11-Computers,1,"OU=Win11-Computers,DC=vulnad,DC=local",3,Allow_RDP,True,True,False,"[LDAP://cn={DF9BAB8A-A712-4F1D-BB43-8E9CA79DA2C0},cn=policies,cn=system,DC=vulnad,DC=local;2][LDAP://cn={2FE22934-12B7-4814-AC33-48122BBF6ACD},cn=policies,cn=system,DC=vulnad,DC=local;2][LDAP://cn={B7FB3D5A-1450-4CE2-AD73-9B46092F3FA7},cn=policies,cn=system,DC=vulnad,DC=local;2]",0
Win11-Computers,1,"OU=Win11-Computers,DC=vulnad,DC=local",2,Enable_Local_Administrator,True,True,False,"[LDAP://cn={DF9BAB8A-A712-4F1D-BB43-8E9CA79DA2C0},cn=policies,cn=system,DC=vulnad,DC=local;2][LDAP://cn={2FE22934-12B7-4814-AC33-48122BBF6ACD},cn=policies,cn=system,DC=vulnad,DC=local;2][LDAP://cn={B7FB3D5A-1450-4CE2-AD73-9B46092F3FA7},cn=policies,cn=system,DC=vulnad,DC=local;2]",0
Win11-Computers,1,"OU=Win11-Computers,DC=vulnad,DC=local",1,LAPS,True,True,False,"[LDAP://cn={DF9BAB8A-A712-4F1D-BB43-8E9CA79DA2C0},cn=policies,cn=system,DC=vulnad,DC=local;2][LDAP://cn={2FE22934-12B7-4814-AC33-48122BBF6ACD},cn=policies,cn=system,DC=vulnad,DC=local;2][LDAP://cn={B7FB3D5A-1450-4CE2-AD73-9B46092F3FA7},cn=policies,cn=system,DC=vulnad,DC=local;2]",0
PWAuditees,1,"OU=PWAuditees,DC=vulnad,DC=local",,,,,False,,0
PWAuditees2,1,"OU=PWAuditees2,DC=vulnad,DC=local",,,,,False,,0
Printers,1,"OU=Printers,DC=vulnad,DC=local",,,,,False,,0
vulnad,0,"DC=vulnad,DC=local",1,Default Domain Policy,False,True,False,"[LDAP://CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=vulnad,DC=local;0]",0
Default-First-Site-Name,0,"CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=vulnad,DC=local",,,,,False,,0
